source_dataset,source_tier,education_level,rows,sample_weight,label_confidence
cefr-synthetic,bronze,elementary,100,0.3,0.55
cefr-synthetic,bronze,high,100,0.3,0.55
cefr-synthetic,bronze,middle,100,0.3,0.55
english-cefr-explorer,bronze,elementary,500,0.3,0.55
english-cefr-explorer,bronze,high,500,0.3,0.55
english-cefr-explorer,bronze,middle,500,0.3,0.55
grade-aware,bronze,elementary,500,0.3,0.55
grade-aware,bronze,high,29,0.3,0.55
grade-aware,bronze,middle,500,0.3,0.55
cefr-elg,gold,elementary,166,0.9,0.9
cefr-elg,gold,high,166,0.9,0.9
cefr-elg,gold,middle,374,0.9,0.9
clear,gold,elementary,828,1.0,1.0
clear,gold,high,1500,1.0,1.0
clear,gold,middle,1133,1.0,1.0
onestop,gold,elementary,187,0.9500000000000001,0.9500000000000001
onestop,gold,high,189,0.95,0.95
onestop,gold,middle,189,0.95,0.95
scienceqa,gold,elementary,1500,1.0,1.0
scienceqa,gold,high,1500,1.0,1.0
scienceqa,gold,middle,1500,1.0,1.0
race-high,ood,high,500,1.0,0.8
race-middle,ood,middle,500,1.0,0.8
agentlans-readability,silver,elementary,1000,0.6,0.7
agentlans-readability,silver,high,1000,0.6,0.7
agentlans-readability,silver,middle,1000,0.6,0.7
cefr-readme,silver,elementary,854,0.65,0.8
cefr-readme,silver,high,448,0.65,0.8
cefr-readme,silver,middle,999,0.65,0.8
cefr-sp,silver,elementary,1000,0.65,0.8
cefr-sp,silver,high,1000,0.65,0.8
cefr-sp,silver,middle,1000,0.65,0.8
finrad-readability,silver,elementary,250,0.35,0.65
finrad-readability,silver,high,250,0.35,0.65
finrad-readability,silver,middle,250,0.35,0.65
openbookqa,silver,elementary,500,0.45,0.75
