orig_split,orig_idx,source_dataset,education_level,llm_judge_label,judge_raw_response
ood_adversarial,0,synthetic_adversarial,middle,middle,middle
ood_adversarial,1,synthetic_adversarial,middle,middle,middle
ood_adversarial,2,synthetic_adversarial,middle,middle,middle
ood_adversarial,3,synthetic_adversarial,middle,middle,middle
ood_adversarial,4,synthetic_adversarial,middle,middle,middle
ood_adversarial,5,synthetic_adversarial,middle,middle,middle
ood_adversarial,6,synthetic_adversarial,elementary,elementary,elementary
ood_adversarial,7,synthetic_adversarial,middle,middle,middle
ood_adversarial,8,synthetic_adversarial,middle,middle,middle
ood_adversarial,9,synthetic_adversarial,middle,middle,middle
ood_adversarial,10,synthetic_adversarial,middle,middle,middle
ood_adversarial,11,synthetic_adversarial,middle,middle,middle
ood_adversarial,12,synthetic_adversarial,elementary,elementary,elementary
ood_adversarial,13,synthetic_adversarial,middle,middle,middle
ood_adversarial,14,synthetic_adversarial,elementary,elementary,elementary
ood_adversarial,15,synthetic_adversarial,elementary,elementary,elementary
ood_adversarial,16,synthetic_adversarial,middle,middle,middle
ood_adversarial,17,synthetic_adversarial,middle,middle,middle
ood_adversarial,18,synthetic_adversarial,middle,middle,middle
ood_adversarial,19,synthetic_adversarial,middle,middle,middle
ood_adversarial,20,synthetic_adversarial,middle,middle,middle
ood_adversarial,21,synthetic_adversarial,middle,middle,middle
ood_adversarial,22,synthetic_adversarial,middle,middle,middle
ood_adversarial,23,synthetic_adversarial,middle,middle,middle
ood_adversarial,24,synthetic_adversarial,middle,middle,middle
ood_adversarial,25,synthetic_adversarial,middle,middle,middle
ood_adversarial,26,synthetic_adversarial,middle,middle,middle
ood_adversarial,27,synthetic_adversarial,elementary,elementary,elementary
ood_adversarial,28,synthetic_adversarial,middle,middle,middle
ood_adversarial,29,synthetic_adversarial,middle,middle,middle
ood_adversarial,30,synthetic_adversarial,middle,middle,middle
ood_adversarial,31,synthetic_adversarial,middle,middle,middle
ood_adversarial,32,synthetic_adversarial,middle,middle,middle
ood_adversarial,33,synthetic_adversarial,elementary,elementary,elementary
ood_adversarial,34,synthetic_adversarial,middle,middle,middle
ood_adversarial,35,synthetic_adversarial,middle,middle,middle
ood_adversarial,36,synthetic_adversarial,middle,middle,middle
ood_adversarial,37,synthetic_adversarial,middle,middle,middle
ood_adversarial,38,synthetic_adversarial,middle,middle,middle
ood_adversarial,39,synthetic_adversarial,elementary,elementary,elementary
ood_adversarial,40,synthetic_adversarial,middle,middle,middle
ood_adversarial,41,synthetic_adversarial,middle,middle,middle
ood_adversarial,42,synthetic_adversarial,middle,middle,middle
ood_adversarial,43,synthetic_adversarial,middle,middle,middle
ood_adversarial,44,synthetic_adversarial,middle,middle,middle
ood_adversarial,45,synthetic_adversarial,middle,middle,middle
ood_adversarial,46,synthetic_adversarial,middle,middle,middle
ood_adversarial,47,synthetic_adversarial,middle,middle,middle
ood_adversarial,48,synthetic_adversarial,middle,middle,middle
ood_adversarial,49,synthetic_adversarial,middle,middle,middle
ood_adversarial,50,synthetic_adversarial,high,high,high
ood_adversarial,51,synthetic_adversarial,high,high,high
ood_adversarial,52,synthetic_adversarial,high,high,high
ood_adversarial,53,synthetic_adversarial,high,high,high
ood_adversarial,54,synthetic_adversarial,high,high,high
ood_adversarial,55,synthetic_adversarial,high,high,high
ood_adversarial,56,synthetic_adversarial,high,high,high
ood_adversarial,57,synthetic_adversarial,high,high,high
ood_adversarial,58,synthetic_adversarial,high,high,high
ood_adversarial,59,synthetic_adversarial,middle,middle,middle
ood_adversarial,60,synthetic_adversarial,high,high,high
ood_adversarial,61,synthetic_adversarial,high,high,high
ood_adversarial,62,synthetic_adversarial,high,high,high
ood_adversarial,63,synthetic_adversarial,high,high,high
ood_adversarial,64,synthetic_adversarial,high,high,high
ood_adversarial,65,synthetic_adversarial,high,high,high
ood_adversarial,66,synthetic_adversarial,high,high,high
ood_adversarial,67,synthetic_adversarial,high,high,high
ood_adversarial,68,synthetic_adversarial,high,high,high
ood_adversarial,69,synthetic_adversarial,high,high,high
ood_adversarial,70,synthetic_adversarial,high,high,high
ood_adversarial,71,synthetic_adversarial,high,high,high
ood_adversarial,72,synthetic_adversarial,high,high,high
ood_adversarial,73,synthetic_adversarial,high,high,high
ood_adversarial,74,synthetic_adversarial,high,high,high
ood_adversarial,75,synthetic_adversarial,high,high,high
ood_adversarial,76,synthetic_adversarial,high,high,high
ood_adversarial,77,synthetic_adversarial,high,high,high
ood_adversarial,78,synthetic_adversarial,high,high,high
ood_adversarial,79,synthetic_adversarial,high,high,high
ood_adversarial,80,synthetic_adversarial,high,high,high
ood_adversarial,81,synthetic_adversarial,high,high,high
ood_adversarial,82,synthetic_adversarial,high,high,high
ood_adversarial,83,synthetic_adversarial,high,high,high
ood_adversarial,84,synthetic_adversarial,high,high,high
ood_adversarial,85,synthetic_adversarial,high,high,high
ood_adversarial,86,synthetic_adversarial,high,high,high
ood_adversarial,87,synthetic_adversarial,high,high,high
ood_adversarial,88,synthetic_adversarial,middle,middle,middle
ood_adversarial,89,synthetic_adversarial,high,high,high
ood_adversarial,90,synthetic_adversarial,high,high,high
ood_adversarial,91,synthetic_adversarial,high,high,high
ood_adversarial,92,synthetic_adversarial,high,high,high
ood_adversarial,93,synthetic_adversarial,high,high,high
ood_adversarial,94,synthetic_adversarial,high,high,high
ood_adversarial,95,synthetic_adversarial,high,high,high
ood_adversarial,96,synthetic_adversarial,high,high,high
ood_adversarial,97,synthetic_adversarial,high,high,high
ood_adversarial,98,synthetic_adversarial,high,high,high
ood_adversarial,99,synthetic_adversarial,high,high,high
ood_adversarial,100,synthetic_adversarial,middle,middle,middle
ood_adversarial,101,synthetic_adversarial,middle,middle,middle
ood_adversarial,102,synthetic_adversarial,middle,middle,middle
ood_adversarial,103,synthetic_adversarial,middle,middle,middle
ood_adversarial,104,synthetic_adversarial,middle,middle,middle
ood_adversarial,105,synthetic_adversarial,middle,middle,middle
ood_adversarial,106,synthetic_adversarial,middle,middle,middle
ood_adversarial,107,synthetic_adversarial,middle,middle,middle
ood_adversarial,108,synthetic_adversarial,high,high,high
ood_adversarial,109,synthetic_adversarial,middle,middle,middle
ood_adversarial,110,synthetic_adversarial,middle,middle,middle
ood_adversarial,111,synthetic_adversarial,middle,middle,middle
ood_adversarial,112,synthetic_adversarial,middle,middle,middle
ood_adversarial,113,synthetic_adversarial,middle,middle,middle
ood_adversarial,114,synthetic_adversarial,middle,middle,middle
ood_adversarial,115,synthetic_adversarial,elementary,elementary,elementary
ood_adversarial,116,synthetic_adversarial,middle,middle,middle
ood_adversarial,117,synthetic_adversarial,middle,middle,middle
ood_adversarial,118,synthetic_adversarial,middle,middle,middle
ood_adversarial,119,synthetic_adversarial,middle,middle,middle
ood_adversarial,120,synthetic_adversarial,middle,middle,middle
ood_adversarial,121,synthetic_adversarial,middle,middle,middle
ood_adversarial,122,synthetic_adversarial,middle,middle,middle
ood_adversarial,123,synthetic_adversarial,high,high,high
ood_adversarial,124,synthetic_adversarial,middle,middle,middle
ood_adversarial,125,synthetic_adversarial,middle,middle,middle
ood_adversarial,126,synthetic_adversarial,middle,middle,middle
ood_adversarial,127,synthetic_adversarial,middle,middle,middle
ood_adversarial,128,synthetic_adversarial,middle,middle,middle
ood_adversarial,129,synthetic_adversarial,middle,middle,middle
ood_adversarial,130,synthetic_adversarial,middle,middle,middle
ood_adversarial,131,synthetic_adversarial,middle,middle,middle
ood_adversarial,132,synthetic_adversarial,middle,middle,middle
ood_adversarial,133,synthetic_adversarial,middle,middle,middle
ood_adversarial,134,synthetic_adversarial,middle,middle,middle
ood_adversarial,135,synthetic_adversarial,high,high,high
ood_adversarial,136,synthetic_adversarial,middle,middle,middle
ood_adversarial,137,synthetic_adversarial,middle,middle,middle
ood_adversarial,138,synthetic_adversarial,middle,middle,middle
ood_adversarial,139,synthetic_adversarial,middle,middle,middle
ood_adversarial,140,synthetic_adversarial,middle,middle,middle
ood_adversarial,141,synthetic_adversarial,high,high,high
ood_adversarial,142,synthetic_adversarial,middle,middle,middle
ood_adversarial,143,synthetic_adversarial,middle,middle,middle
ood_adversarial,144,synthetic_adversarial,middle,middle,middle
ood_adversarial,145,synthetic_adversarial,middle,middle,middle
ood_adversarial,146,synthetic_adversarial,middle,middle,middle
ood_adversarial,147,synthetic_adversarial,middle,middle,middle
ood_adversarial,148,synthetic_adversarial,middle,middle,middle
ood_adversarial,149,synthetic_adversarial,middle,middle,middle
