orig_split,orig_idx,source_dataset,education_level,llm_judge_label,judge_raw_response
ood_race-high,0,race-high,high,middle,middle
ood_race-high,1,race-high,high,middle,middle
ood_race-high,2,race-high,high,middle,middle
ood_race-high,3,race-high,high,high,high
ood_race-high,4,race-high,high,middle,middle
ood_race-high,5,race-high,high,high,high
ood_race-high,6,race-high,high,middle,middle
ood_race-high,7,race-high,high,middle,middle
ood_race-high,8,race-high,high,high,high
ood_race-high,9,race-high,high,middle,middle
ood_race-high,10,race-high,high,middle,middle
ood_race-high,11,race-high,high,middle,middle
ood_race-high,12,race-high,high,high,high
ood_race-high,13,race-high,high,middle,middle
ood_race-high,14,race-high,high,high,high
ood_race-high,15,race-high,high,middle,middle
ood_race-high,16,race-high,high,middle,middle
ood_race-high,17,race-high,high,high,high
ood_race-high,18,race-high,high,high,high
ood_race-high,19,race-high,high,middle,middle
ood_race-high,20,race-high,high,middle,middle
ood_race-high,21,race-high,high,middle,middle
ood_race-high,22,race-high,high,middle,middle
ood_race-high,23,race-high,high,high,high
ood_race-high,24,race-high,high,middle,middle
ood_race-high,25,race-high,high,high,high
ood_race-high,26,race-high,high,middle,middle
ood_race-high,27,race-high,high,middle,middle
ood_race-high,28,race-high,high,middle,middle
ood_race-high,29,race-high,high,middle,middle
ood_race-high,30,race-high,high,middle,middle
ood_race-high,31,race-high,high,middle,middle
ood_race-high,32,race-high,high,high,high
ood_race-high,33,race-high,high,middle,middle
ood_race-high,34,race-high,high,middle,middle
ood_race-high,35,race-high,high,middle,middle
ood_race-high,36,race-high,high,middle,middle
ood_race-high,37,race-high,high,high,high
ood_race-high,38,race-high,high,high,high
ood_race-high,39,race-high,high,middle,middle
ood_race-high,40,race-high,high,middle,middle
ood_race-high,41,race-high,high,middle,middle
ood_race-high,42,race-high,high,high,high
ood_race-high,43,race-high,high,middle,middle
ood_race-high,44,race-high,high,high,high
ood_race-high,45,race-high,high,high,high
ood_race-high,46,race-high,high,high,high
ood_race-high,47,race-high,high,high,high
ood_race-high,48,race-high,high,middle,middle
ood_race-high,49,race-high,high,middle,middle
ood_race-high,50,race-high,high,middle,middle
ood_race-high,51,race-high,high,high,high
ood_race-high,52,race-high,high,middle,middle
ood_race-high,53,race-high,high,high,high
ood_race-high,54,race-high,high,high,high
ood_race-high,55,race-high,high,middle,middle
ood_race-high,56,race-high,high,middle,middle
ood_race-high,57,race-high,high,high,high
ood_race-high,58,race-high,high,middle,middle
ood_race-high,59,race-high,high,high,high
ood_race-high,60,race-high,high,high,high
ood_race-high,61,race-high,high,high,high
ood_race-high,62,race-high,high,middle,middle
ood_race-high,63,race-high,high,high,high
ood_race-high,64,race-high,high,middle,middle
ood_race-high,65,race-high,high,middle,middle
ood_race-high,66,race-high,high,middle,middle
ood_race-high,67,race-high,high,high,high
ood_race-high,68,race-high,high,middle,middle
ood_race-high,69,race-high,high,high,high
ood_race-high,70,race-high,high,middle,middle
ood_race-high,71,race-high,high,middle,middle
ood_race-high,72,race-high,high,middle,middle
ood_race-high,73,race-high,high,high,high
ood_race-high,74,race-high,high,middle,middle
ood_race-high,75,race-high,high,high,high
ood_race-high,76,race-high,high,middle,middle
ood_race-high,77,race-high,high,middle,middle
ood_race-high,78,race-high,high,middle,middle
ood_race-high,79,race-high,high,middle,middle
ood_race-high,80,race-high,high,middle,middle
ood_race-high,81,race-high,high,middle,middle
ood_race-high,82,race-high,high,high,high
ood_race-high,83,race-high,high,high,high
ood_race-high,84,race-high,high,middle,middle
ood_race-high,85,race-high,high,high,high
ood_race-high,86,race-high,high,middle,middle
ood_race-high,87,race-high,high,high,high
ood_race-high,88,race-high,high,high,high
ood_race-high,89,race-high,high,high,high
ood_race-high,90,race-high,high,middle,middle
ood_race-high,91,race-high,high,middle,middle
ood_race-high,92,race-high,high,middle,middle
ood_race-high,93,race-high,high,middle,middle
ood_race-high,94,race-high,high,middle,middle
ood_race-high,95,race-high,high,high,high
ood_race-high,96,race-high,high,middle,middle
ood_race-high,97,race-high,high,middle,middle
ood_race-high,98,race-high,high,middle,middle
