orig_split,orig_idx,source_dataset,education_level,llm_judge_label,judge_raw_response
ood_synthetic,0,synthetic,elementary,elementary,elementary
ood_synthetic,1,synthetic,elementary,elementary,elementary
ood_synthetic,2,synthetic,elementary,elementary,elementary
ood_synthetic,3,synthetic,elementary,elementary,elementary
ood_synthetic,4,synthetic,elementary,elementary,elementary
ood_synthetic,5,synthetic,elementary,elementary,elementary
ood_synthetic,6,synthetic,elementary,elementary,elementary
ood_synthetic,7,synthetic,elementary,elementary,elementary
ood_synthetic,8,synthetic,elementary,elementary,elementary
ood_synthetic,9,synthetic,elementary,elementary,elementary
ood_synthetic,10,synthetic,elementary,elementary,elementary
ood_synthetic,11,synthetic,elementary,elementary,elementary
ood_synthetic,12,synthetic,elementary,elementary,elementary
ood_synthetic,13,synthetic,elementary,elementary,elementary
ood_synthetic,14,synthetic,elementary,elementary,elementary
ood_synthetic,15,synthetic,elementary,elementary,elementary
ood_synthetic,16,synthetic,elementary,elementary,elementary
ood_synthetic,17,synthetic,elementary,elementary,elementary
ood_synthetic,18,synthetic,elementary,elementary,elementary
ood_synthetic,19,synthetic,elementary,elementary,elementary
ood_synthetic,20,synthetic,elementary,elementary,elementary
ood_synthetic,21,synthetic,elementary,elementary,elementary
ood_synthetic,22,synthetic,elementary,middle,middle
ood_synthetic,23,synthetic,elementary,elementary,elementary
ood_synthetic,24,synthetic,elementary,elementary,elementary
ood_synthetic,25,synthetic,elementary,middle,middle
ood_synthetic,26,synthetic,elementary,elementary,elementary
ood_synthetic,27,synthetic,elementary,elementary,elementary
ood_synthetic,28,synthetic,elementary,elementary,elementary
ood_synthetic,29,synthetic,elementary,elementary,elementary
ood_synthetic,30,synthetic,elementary,elementary,elementary
ood_synthetic,31,synthetic,elementary,elementary,elementary
ood_synthetic,32,synthetic,elementary,elementary,elementary
ood_synthetic,33,synthetic,elementary,elementary,elementary
ood_synthetic,34,synthetic,elementary,elementary,elementary
ood_synthetic,35,synthetic,elementary,elementary,elementary
ood_synthetic,36,synthetic,elementary,middle,middle
ood_synthetic,37,synthetic,elementary,elementary,elementary
ood_synthetic,38,synthetic,elementary,middle,middle
ood_synthetic,39,synthetic,elementary,elementary,elementary
ood_synthetic,40,synthetic,elementary,elementary,elementary
