orig_split,orig_idx,source_dataset,education_level,llm_judge_label,judge_raw_response
train,0,agentlans-readability,elementary,elementary,elementary
train,1,agentlans-readability,elementary,elementary,elementary
train,2,agentlans-readability,elementary,elementary,elementary
train,3,agentlans-readability,elementary,elementary,elementary
train,4,agentlans-readability,elementary,elementary,elementary
train,5,agentlans-readability,elementary,elementary,elementary
train,6,agentlans-readability,elementary,elementary,elementary
train,7,agentlans-readability,elementary,middle,middle
train,8,agentlans-readability,elementary,elementary,elementary
train,9,agentlans-readability,elementary,elementary,elementary
train,10,agentlans-readability,elementary,elementary,elementary
train,11,agentlans-readability,elementary,elementary,elementary
train,12,agentlans-readability,elementary,middle,middle
train,13,agentlans-readability,elementary,elementary,elementary
train,14,agentlans-readability,elementary,elementary,elementary
train,15,agentlans-readability,elementary,elementary,elementary
train,16,agentlans-readability,elementary,elementary,elementary
train,17,agentlans-readability,elementary,elementary,elementary
train,18,agentlans-readability,elementary,elementary,elementary
train,19,agentlans-readability,elementary,middle,middle
train,20,agentlans-readability,elementary,elementary,elementary
train,21,agentlans-readability,elementary,elementary,elementary
train,22,agentlans-readability,elementary,elementary,elementary
train,23,agentlans-readability,elementary,elementary,elementary
train,24,agentlans-readability,elementary,elementary,elementary
train,25,agentlans-readability,elementary,elementary,elementary
train,26,agentlans-readability,elementary,elementary,elementary
train,27,agentlans-readability,elementary,middle,middle
train,28,agentlans-readability,elementary,elementary,elementary
train,29,agentlans-readability,elementary,elementary,elementary
train,30,agentlans-readability,elementary,elementary,elementary
train,31,agentlans-readability,elementary,elementary,elementary
train,32,agentlans-readability,elementary,elementary,elementary
train,33,agentlans-readability,elementary,elementary,elementary
train,34,agentlans-readability,elementary,elementary,elementary
train,35,agentlans-readability,elementary,middle,middle
train,36,agentlans-readability,elementary,elementary,elementary
train,37,agentlans-readability,elementary,elementary,elementary
train,38,agentlans-readability,elementary,elementary,elementary
train,39,agentlans-readability,elementary,elementary,elementary
train,40,agentlans-readability,elementary,elementary,elementary
train,41,agentlans-readability,elementary,elementary,elementary
train,42,agentlans-readability,elementary,elementary,elementary
train,43,agentlans-readability,elementary,high,high
train,44,agentlans-readability,elementary,elementary,elementary
train,45,agentlans-readability,elementary,elementary,elementary
train,46,agentlans-readability,elementary,elementary,elementary
train,47,agentlans-readability,elementary,elementary,elementary
train,48,agentlans-readability,elementary,middle,middle
train,49,agentlans-readability,elementary,elementary,elementary
train,50,agentlans-readability,elementary,elementary,elementary
train,51,agentlans-readability,elementary,elementary,elementary
train,52,agentlans-readability,elementary,elementary,elementary
train,53,agentlans-readability,elementary,elementary,elementary
train,54,agentlans-readability,elementary,elementary,elementary
train,55,agentlans-readability,elementary,elementary,elementary
train,56,agentlans-readability,elementary,elementary,elementary
train,57,agentlans-readability,elementary,elementary,elementary
train,58,agentlans-readability,elementary,elementary,elementary
train,59,agentlans-readability,elementary,middle,middle
train,60,agentlans-readability,elementary,elementary,elementary
train,61,agentlans-readability,elementary,elementary,elementary
train,62,agentlans-readability,elementary,middle,middle
train,63,agentlans-readability,elementary,elementary,elementary
train,64,agentlans-readability,elementary,elementary,elementary
train,65,agentlans-readability,elementary,elementary,elementary
train,66,agentlans-readability,elementary,elementary,elementary
train,67,agentlans-readability,elementary,elementary,elementary
train,68,agentlans-readability,elementary,elementary,elementary
train,69,agentlans-readability,elementary,elementary,elementary
train,70,agentlans-readability,elementary,elementary,elementary
train,71,agentlans-readability,elementary,elementary,elementary
train,72,agentlans-readability,elementary,elementary,elementary
train,73,agentlans-readability,elementary,middle,middle
train,74,agentlans-readability,elementary,middle,middle
train,75,agentlans-readability,elementary,elementary,elementary
train,76,agentlans-readability,elementary,elementary,elementary
train,77,agentlans-readability,elementary,elementary,elementary
train,78,agentlans-readability,elementary,middle,middle
train,79,agentlans-readability,elementary,elementary,elementary
train,80,agentlans-readability,elementary,elementary,elementary
train,81,agentlans-readability,elementary,elementary,elementary
train,82,agentlans-readability,elementary,elementary,elementary
train,83,agentlans-readability,elementary,elementary,elementary
train,84,agentlans-readability,elementary,elementary,elementary
train,85,agentlans-readability,elementary,elementary,elementary
train,86,agentlans-readability,elementary,elementary,elementary
train,87,agentlans-readability,elementary,middle,middle
train,88,agentlans-readability,elementary,elementary,elementary
train,89,agentlans-readability,elementary,elementary,elementary
train,90,agentlans-readability,elementary,elementary,elementary
train,91,agentlans-readability,elementary,elementary,elementary
train,92,agentlans-readability,elementary,elementary,elementary
train,93,agentlans-readability,elementary,elementary,elementary
train,94,agentlans-readability,elementary,elementary,elementary
train,95,agentlans-readability,elementary,elementary,elementary
train,96,agentlans-readability,elementary,elementary,elementary
train,97,agentlans-readability,elementary,elementary,elementary
train,98,agentlans-readability,elementary,elementary,elementary
train,99,agentlans-readability,elementary,elementary,elementary
train,100,agentlans-readability,elementary,middle,middle
train,101,agentlans-readability,elementary,elementary,elementary
train,102,agentlans-readability,elementary,elementary,elementary
train,103,agentlans-readability,elementary,elementary,elementary
train,104,agentlans-readability,elementary,elementary,elementary
train,105,agentlans-readability,elementary,elementary,elementary
train,106,agentlans-readability,elementary,elementary,elementary
train,107,agentlans-readability,elementary,elementary,elementary
train,108,agentlans-readability,elementary,elementary,elementary
train,109,agentlans-readability,elementary,elementary,elementary
train,110,agentlans-readability,elementary,elementary,elementary
train,111,agentlans-readability,elementary,elementary,elementary
train,112,agentlans-readability,elementary,elementary,elementary
train,113,agentlans-readability,elementary,elementary,elementary
train,114,agentlans-readability,elementary,elementary,elementary
train,115,agentlans-readability,elementary,elementary,elementary
train,116,agentlans-readability,elementary,elementary,elementary
train,117,agentlans-readability,elementary,elementary,elementary
train,118,agentlans-readability,elementary,elementary,elementary
train,119,agentlans-readability,elementary,elementary,elementary
train,120,agentlans-readability,elementary,elementary,elementary
train,121,agentlans-readability,elementary,elementary,elementary
train,122,agentlans-readability,elementary,elementary,elementary
train,123,agentlans-readability,elementary,elementary,elementary
train,124,agentlans-readability,elementary,elementary,elementary
train,125,agentlans-readability,elementary,elementary,elementary
train,126,agentlans-readability,elementary,elementary,elementary
train,127,agentlans-readability,elementary,elementary,elementary
train,128,agentlans-readability,elementary,elementary,elementary
train,129,agentlans-readability,elementary,elementary,elementary
train,130,agentlans-readability,elementary,elementary,elementary
train,131,agentlans-readability,elementary,elementary,elementary
train,132,agentlans-readability,elementary,elementary,elementary
train,133,agentlans-readability,elementary,elementary,elementary
train,134,agentlans-readability,elementary,elementary,elementary
train,135,agentlans-readability,elementary,elementary,elementary
train,136,agentlans-readability,elementary,high,high
train,137,agentlans-readability,elementary,middle,middle
train,138,agentlans-readability,elementary,elementary,elementary
train,139,agentlans-readability,elementary,elementary,elementary
train,140,agentlans-readability,elementary,elementary,elementary
train,141,agentlans-readability,elementary,elementary,elementary
train,142,agentlans-readability,elementary,elementary,elementary
train,143,agentlans-readability,elementary,middle,middle
train,144,agentlans-readability,elementary,middle,middle
train,145,agentlans-readability,elementary,elementary,elementary
train,146,agentlans-readability,elementary,elementary,elementary
train,147,agentlans-readability,elementary,elementary,elementary
train,148,agentlans-readability,elementary,elementary,elementary
train,149,agentlans-readability,elementary,elementary,elementary
train,150,agentlans-readability,elementary,elementary,elementary
train,151,agentlans-readability,elementary,elementary,elementary
train,152,agentlans-readability,elementary,elementary,elementary
train,153,agentlans-readability,elementary,elementary,elementary
train,154,agentlans-readability,elementary,elementary,elementary
train,155,agentlans-readability,elementary,elementary,elementary
train,156,agentlans-readability,elementary,elementary,elementary
train,157,agentlans-readability,elementary,middle,middle
train,158,agentlans-readability,elementary,elementary,elementary
train,159,agentlans-readability,elementary,middle,middle
train,160,agentlans-readability,elementary,middle,middle
train,161,agentlans-readability,elementary,elementary,elementary
train,162,agentlans-readability,elementary,elementary,elementary
train,163,agentlans-readability,elementary,elementary,elementary
train,164,agentlans-readability,elementary,elementary,elementary
train,165,agentlans-readability,elementary,elementary,elementary
train,166,agentlans-readability,elementary,elementary,elementary
train,167,agentlans-readability,elementary,elementary,elementary
train,168,agentlans-readability,elementary,elementary,elementary
train,169,agentlans-readability,elementary,elementary,elementary
train,170,agentlans-readability,elementary,elementary,elementary
train,171,agentlans-readability,elementary,elementary,elementary
train,172,agentlans-readability,elementary,elementary,elementary
train,173,agentlans-readability,elementary,elementary,elementary
train,174,agentlans-readability,elementary,elementary,elementary
train,175,agentlans-readability,elementary,middle,middle
train,176,agentlans-readability,elementary,elementary,elementary
train,177,agentlans-readability,elementary,elementary,elementary
train,178,agentlans-readability,elementary,elementary,elementary
train,179,agentlans-readability,elementary,elementary,elementary
train,180,agentlans-readability,elementary,elementary,elementary
train,181,agentlans-readability,elementary,elementary,elementary
train,182,agentlans-readability,elementary,elementary,elementary
train,183,agentlans-readability,elementary,elementary,elementary
train,184,agentlans-readability,elementary,elementary,elementary
train,185,agentlans-readability,elementary,middle,middle
train,186,agentlans-readability,elementary,elementary,elementary
train,187,agentlans-readability,elementary,elementary,elementary
train,188,agentlans-readability,elementary,elementary,elementary
train,189,agentlans-readability,elementary,elementary,elementary
train,190,agentlans-readability,elementary,elementary,elementary
train,191,agentlans-readability,elementary,elementary,elementary
train,192,agentlans-readability,elementary,elementary,elementary
train,193,agentlans-readability,elementary,elementary,elementary
train,194,agentlans-readability,elementary,elementary,elementary
train,195,agentlans-readability,elementary,elementary,elementary
train,196,agentlans-readability,elementary,elementary,elementary
train,197,agentlans-readability,elementary,elementary,elementary
train,198,agentlans-readability,elementary,elementary,elementary
train,199,agentlans-readability,elementary,elementary,elementary
train,200,agentlans-readability,elementary,middle,middle
train,201,agentlans-readability,elementary,elementary,elementary
train,202,agentlans-readability,elementary,elementary,elementary
train,203,agentlans-readability,elementary,elementary,elementary
train,204,agentlans-readability,elementary,elementary,elementary
train,205,agentlans-readability,elementary,elementary,elementary
train,206,agentlans-readability,elementary,elementary,elementary
train,207,agentlans-readability,elementary,elementary,elementary
train,208,agentlans-readability,elementary,elementary,elementary
train,209,agentlans-readability,elementary,elementary,elementary
train,210,agentlans-readability,elementary,elementary,elementary
train,211,agentlans-readability,elementary,elementary,elementary
train,212,agentlans-readability,elementary,elementary,elementary
train,213,agentlans-readability,elementary,elementary,elementary
train,214,agentlans-readability,elementary,elementary,elementary
train,215,agentlans-readability,elementary,middle,middle
train,216,agentlans-readability,elementary,elementary,elementary
train,217,agentlans-readability,elementary,elementary,elementary
train,218,agentlans-readability,elementary,elementary,elementary
train,219,agentlans-readability,elementary,middle,middle
train,220,agentlans-readability,elementary,elementary,elementary
train,221,agentlans-readability,elementary,elementary,elementary
train,222,agentlans-readability,elementary,elementary,elementary
train,223,agentlans-readability,elementary,elementary,elementary
train,224,agentlans-readability,elementary,elementary,elementary
train,225,agentlans-readability,elementary,elementary,elementary
train,226,agentlans-readability,elementary,middle,middle
train,227,agentlans-readability,elementary,elementary,elementary
train,228,agentlans-readability,elementary,elementary,elementary
train,229,agentlans-readability,elementary,middle,middle
train,230,agentlans-readability,elementary,elementary,elementary
train,231,agentlans-readability,elementary,middle,middle
train,232,agentlans-readability,elementary,elementary,elementary
train,233,agentlans-readability,elementary,elementary,elementary
train,234,agentlans-readability,elementary,elementary,elementary
train,235,agentlans-readability,elementary,elementary,elementary
train,236,agentlans-readability,elementary,elementary,elementary
train,237,agentlans-readability,elementary,elementary,elementary
train,238,agentlans-readability,elementary,middle,middle
train,239,agentlans-readability,elementary,middle,middle
train,240,agentlans-readability,elementary,elementary,elementary
train,241,agentlans-readability,elementary,elementary,elementary
train,242,agentlans-readability,elementary,elementary,elementary
train,243,agentlans-readability,elementary,elementary,elementary
train,244,agentlans-readability,elementary,elementary,elementary
train,245,agentlans-readability,elementary,elementary,elementary
train,246,agentlans-readability,elementary,elementary,elementary
train,247,agentlans-readability,elementary,middle,middle
train,248,agentlans-readability,elementary,middle,middle
train,249,agentlans-readability,elementary,elementary,elementary
train,250,agentlans-readability,elementary,elementary,elementary
train,251,agentlans-readability,elementary,elementary,elementary
train,252,agentlans-readability,elementary,elementary,elementary
train,253,agentlans-readability,elementary,middle,middle
train,254,agentlans-readability,elementary,elementary,elementary
train,255,agentlans-readability,elementary,elementary,elementary
train,256,agentlans-readability,elementary,elementary,elementary
train,257,agentlans-readability,elementary,elementary,elementary
train,258,agentlans-readability,elementary,elementary,elementary
train,259,agentlans-readability,elementary,elementary,elementary
train,260,agentlans-readability,elementary,elementary,elementary
train,261,agentlans-readability,elementary,elementary,elementary
train,262,agentlans-readability,elementary,middle,middle
train,263,agentlans-readability,elementary,elementary,elementary
train,264,agentlans-readability,elementary,elementary,elementary
train,265,agentlans-readability,elementary,elementary,elementary
train,266,agentlans-readability,elementary,middle,middle
train,267,agentlans-readability,elementary,elementary,elementary
train,268,agentlans-readability,elementary,elementary,elementary
train,269,agentlans-readability,elementary,elementary,elementary
train,270,agentlans-readability,elementary,elementary,elementary
train,271,agentlans-readability,elementary,elementary,elementary
train,272,agentlans-readability,elementary,middle,middle
train,273,agentlans-readability,elementary,elementary,elementary
train,274,agentlans-readability,elementary,elementary,elementary
train,275,agentlans-readability,elementary,elementary,elementary
train,276,agentlans-readability,elementary,elementary,elementary
