text_idx,stat_automated_readability_index,stat_avg_sent_len,stat_avg_word_len,stat_char_count,stat_coleman_liau_index,stat_dale_chall_readability_score,stat_difficult_words,stat_flesch_kincaid_grade,stat_flesch_reading_ease,stat_gunning_fog,stat_has_because,stat_has_example,stat_has_multiple_choice,stat_has_therefore,stat_linsear_write_formula,stat_long_word_ratio,stat_max_sent_len,stat_mcalpine_eflaw,stat_n_comma,stat_n_exclaim,stat_n_newlines,stat_n_paragraphs,stat_n_paren,stat_n_question,stat_n_quote,stat_n_semicolon,stat_sentence_count,stat_smog_index,stat_spache_readability,stat_text_standard,stat_ttr,stat_unique_words,stat_word_count,stat_word_entropy
0,3.813939393939396,12.375,4.040404040404041,513,4.767676767676768,6.893514141414141,12.0,5.029292929292929,78.59727272727275,8.036363636363637,0.0,0.0,0.0,0.0,5.611111111111111,0.15151515151515152,15,17.444444444444443,4,0,8,1,0,0,2,0,8,9.150863307647796,3.5192929292929294,4.0,0.5555555555555556,55,99,5.41977474167704
1,6.296434169278999,10.636363636363637,4.572649572649572,668,7.943103448275863,8.107054545454545,19.0,6.12100313479624,69.96067398119125,9.390595611285267,0.0,0.0,0.0,0.0,5.2,0.21367521367521367,15,15.090909090909092,4,0,10,1,0,0,2,0,11,10.23097548852734,4.031081504702193,5.0,0.6923076923076923,81,117,6.0889465831285285
2,6.091285714285714,8.75,4.704761904761905,626,7.8838095238095285,9.033071428571429,20.0,5.353928571428575,72.26232142857144,6.547619047619048,0.0,0.0,0.0,0.0,4.083333333333333,0.23809523809523808,11,11.75,9,0,11,1,0,0,0,0,12,8.841846274778883,4.038464285714285,6.0,0.6285714285714286,66,105,5.718974151342143
3,3.198773584905659,10.6,4.0,541,4.388679245283019,6.694618490566038,5.0,3.238339622641508,90.72505660377362,5.749433962264151,0.0,0.0,0.0,0.0,4.888888888888889,0.10377358490566038,12,15.4,1,0,9,1,0,0,0,0,10,7.168621630094336,2.9015245283018865,3.0,0.5471698113207547,58,106,5.471569857546463
4,4.902575757575757,8.272727272727273,4.4945054945054945,514,6.81111111111111,7.726651515151515,14.0,4.776464646464646,75.39045454545456,5.494949494949495,1.0,0.0,0.0,0.0,3.6363636363636367,0.18681318681318682,10,10.909090909090908,4,0,10,1,0,0,0,0,11,7.348242739294969,3.425969696969697,4.0,0.7362637362637363,67,91,5.886593266429677
5,5.427427101200685,9.636363636363637,4.528301886792453,601,7.118867924528303,7.838520240137221,13.0,4.087049742710121,82.92390222984564,8.00548885077187,0.0,0.0,0.0,0.0,4.545454545454546,0.1792452830188679,12,13.454545454545455,5,0,10,1,0,0,0,0,11,9.095868883498916,3.4958404802744423,4.0,0.7264150943396226,77,106,6.091279478569199
6,3.1928947368421063,9.5,4.078947368421052,596,4.640350877192983,6.600857894736842,6.0,2.2957017543859664,95.52407894736842,5.203508771929825,0.0,0.0,0.0,0.0,3.909090909090909,0.09649122807017543,12,13.5,4,0,13,3,0,0,0,0,12,6.816661863887846,2.631131578947368,4.0,0.5614035087719298,64,114,5.711045142130262
7,3.9042391304347817,9.3,4.21505376344086,496,5.569565217391304,7.182167826086957,10.0,3.517565217391308,86.22960869565219,7.1582608695652175,0.0,0.0,0.0,0.0,4.6,0.15053763440860216,14,12.8,2,0,0,1,0,1,0,0,10,8.841846274778883,3.1644608695652168,3.0,0.6774193548387096,63,93,5.759273595914689
8,5.070776699029125,11.444444444444445,4.310679611650485,570,6.431372549019606,8.631733725490196,14.0,5.509568627450978,73.72905882352943,9.962352941176471,0.0,0.0,0.0,0.0,5.6,0.18446601941747573,13,14.8,3,0,9,1,0,0,4,0,9,10.355215969177355,3.794847058823529,5.0,0.6601941747572816,68,103,5.744813940195928
9,2.458855519480519,10.272727272727273,3.8230088495575223,558,3.4053571428571416,6.820178896103896,9.0,2.8148376623376663,93.01652597402597,4.42987012987013,0.0,0.0,0.0,0.0,4.2,0.08849557522123894,12,15.454545454545455,3,0,10,1,0,0,0,0,11,5.565023196281405,3.1192792207792204,2.0,0.5929203539823009,67,113,5.7689047365791595
