text_idx,stat_automated_readability_index,stat_avg_sent_len,stat_avg_word_len,stat_char_count,stat_coleman_liau_index,stat_dale_chall_readability_score,stat_difficult_words,stat_flesch_kincaid_grade,stat_flesch_reading_ease,stat_gunning_fog,stat_has_because,stat_has_example,stat_has_multiple_choice,stat_has_therefore,stat_linsear_write_formula,stat_long_word_ratio,stat_max_sent_len,stat_mcalpine_eflaw,stat_n_comma,stat_n_exclaim,stat_n_newlines,stat_n_paragraphs,stat_n_paren,stat_n_question,stat_n_quote,stat_n_semicolon,stat_sentence_count,stat_smog_index,stat_spache_readability,stat_text_standard,stat_ttr,stat_unique_words,stat_word_count,stat_word_entropy
0,12.321488667430991,27.5,4.652525252525253,2903,10.195537525354972,10.272606393861894,96.0,11.03203986242173,54.146038451362585,14.172290325425525,0.0,0.0,0.0,0.0,11.0,0.2404040404040404,55,29.17391304347826,27,0,0,1,0,0,0,0,18,13.445107506277086,6.041831731193227,10.0,0.49292929292929294,244,495,7.3424269148136645
1,9.087531859070467,12.620689655172415,4.969945355191257,2257,10.829427792915531,10.115531701587898,75.0,8.058323780888852,59.82869209809266,11.056619374236588,0.0,0.0,0.0,0.0,8.428571428571429,0.273224043715847,24,17.413793103448278,20,0,0,1,0,0,0,0,29,11.277492542979427,5.177602743587334,10.0,0.4972677595628415,182,366,6.924926176966604
2,11.513397565922922,17.379310344827587,4.966269841269841,3124,11.323529411764707,9.926913116970926,86.0,9.870973630831642,55.615588235294155,11.661933739012847,1.0,1.0,0.0,0.0,12.6,0.24801587301587302,37,23.275862068965516,31,0,0,1,4,0,0,1,29,11.812370657439214,5.7300277214334,11.0,0.44841269841269843,226,504,7.189169611641269
3,8.633861138861143,17.884615384615383,4.27741935483871,2546,7.948471615720528,9.02657678871347,67.0,7.794847161572054,70.55232784682566,9.66624118239839,1.0,0.0,0.0,0.0,8.166666666666666,0.14838709677419354,37,25.0,22,0,0,1,2,0,0,1,26,9.661875296680812,5.031502855223378,7.0,0.4967741935483871,231,465,7.239695876777538
4,7.738026779422132,14.5625,4.5042918454935625,2683,8.427118644067797,8.895591319979456,75.0,7.188181818181818,69.00217000513612,9.450025680534155,0.0,0.0,0.0,0.0,7.7142857142857135,0.17167381974248927,26,19.666666666666668,19,0,0,1,4,0,0,0,32,10.161004565491615,4.604879815100153,7.0,0.49356223175965663,230,466,7.086267898797812
5,12.893788007956807,23.1,4.85064935064935,2839,11.780219780219785,10.656091017677975,77.0,11.031151457238419,51.209718107979,13.627329192546586,1.0,0.0,0.0,0.0,11.5,0.24458874458874458,56,27.043478260869566,24,0,0,1,8,0,0,0,20,13.166244860791924,6.198897276636407,10.0,0.44805194805194803,207,462,6.987323253054937
6,8.909454094292801,17.47826086956522,4.557213930348259,2310,9.007462686567166,9.618844119402986,75.0,8.469259701492536,62.98245671641793,10.71060696517413,0.0,0.0,0.0,0.0,12.8,0.21641791044776118,41,22.32,19,0,0,1,0,0,0,0,23,11.446984129993638,5.13861830845771,8.0,0.48009950248756217,193,402,6.848465245727343
7,6.026039672471455,15.181818181818182,4.255988023952096,3650,6.872590361445784,8.146013484708064,74.0,5.70385542168675,76.91218257645971,7.6378127896200185,1.0,0.0,0.0,0.0,7.0,0.15119760479041916,43,18.01923076923077,26,0,0,1,0,6,0,0,44,8.841846274778883,3.9346422613531042,6.0,0.42065868263473055,281,668,7.399080586818844
8,8.158568480503966,16.0,4.536931818181818,2025,9.172434017595311,9.17125807537743,47.0,6.637608341479311,69.96900510481156,8.805517541001413,1.0,0.0,0.0,0.0,6.625,0.2528409090909091,40,18.0,24,0,0,1,2,0,0,0,22,9.994966539143718,4.486053437601824,8.0,0.5142045454545454,181,352,6.854932115732381
9,5.48969262295082,12.05,4.275933609958506,2648,6.776494845360826,8.567941237113402,55.0,5.707409793814431,75.73925902061859,7.489175257731958,1.0,0.0,0.0,0.0,8.0,0.13692946058091288,33,17.05,22,0,0,1,0,2,0,0,40,9.120678840339163,4.32182087628866,6.0,0.45850622406639,221,482,7.1465642993025424
10,9.190945529290858,22.05263157894737,4.202863961813843,2248,7.508872901678657,8.748776396026038,52.0,7.604645426515933,75.90877697841728,9.381706063720452,1.0,0.0,0.0,0.0,8.333333333333334,0.16467780429594273,53,28.19047619047619,14,0,0,1,0,0,0,0,19,8.269060116576782,5.247490236382323,7.0,0.431980906921241,181,419,6.778440365712299
11,8.728095631191266,18.703703703703702,4.457425742574258,2876,8.550787401574809,9.8266031496063,77.0,7.989944119888243,66.96587630175262,10.098145796291593,0.0,0.0,0.0,0.0,10.5,0.1702970297029703,42,22.774193548387096,25,0,0,1,0,0,0,0,27,10.237710317436264,5.333438912877826,9.0,0.4772277227722772,241,505,7.14909512341107
