text_idx,stat_automated_readability_index,stat_avg_sent_len,stat_avg_word_len,stat_char_count,stat_coleman_liau_index,stat_dale_chall_readability_score,stat_difficult_words,stat_flesch_kincaid_grade,stat_flesch_reading_ease,stat_gunning_fog,stat_has_because,stat_has_example,stat_has_multiple_choice,stat_has_therefore,stat_linsear_write_formula,stat_long_word_ratio,stat_max_sent_len,stat_mcalpine_eflaw,stat_n_comma,stat_n_exclaim,stat_n_newlines,stat_n_paragraphs,stat_n_paren,stat_n_question,stat_n_quote,stat_n_semicolon,stat_sentence_count,stat_smog_index,stat_spache_readability,stat_text_standard,stat_ttr,stat_unique_words,stat_word_count,stat_word_entropy
0,0.13437499999999858,8.0,3.5833333333333335,453,1.283333333333335,7.322883333333333,4.0,1.5425000000000004,98.25250000000001,3.6166666666666667,0.0,0.0,0.0,0.0,3.083333333333333,0.052083333333333336,14,12.166666666666666,2,0,0,1,0,0,0,0,12,4.7782277997778095,2.325333333333333,0.0,0.6041666666666666,58,96,5.5301876989901
1,0.9262747035573113,8.363636363636363,3.739130434782609,446,2.3478260869565197,7.827205928853755,6.0,2.1652964426877475,94.4350395256917,3.780237154150198,0.0,0.0,0.0,0.0,3.3636363636363633,0.08695652173913043,16,12.454545454545455,0,0,0,1,0,0,0,0,11,5.565023196281405,2.6726205533596836,2.0,0.6195652173913043,57,92,5.569317934950265
2,0.13437499999999858,8.0,3.5833333333333335,453,1.283333333333335,7.322883333333333,4.0,1.5425000000000004,98.25250000000001,3.6166666666666667,0.0,0.0,0.0,0.0,3.083333333333333,0.052083333333333336,14,12.166666666666666,2,0,0,1,0,0,0,0,12,4.7782277997778095,2.325333333333333,0.0,0.6041666666666666,58,96,5.5301876989901
3,0.18343750000000014,8.0,3.6041666666666665,454,1.34375,7.158404166666667,4.0,1.665416666666669,97.37125,3.6166666666666667,1.0,0.0,0.0,0.0,3.083333333333333,0.0625,14,12.083333333333334,1,0,0,1,0,0,0,0,12,4.7782277997778095,2.325333333333333,0.0,0.625,60,96,5.5769608760283615
4,0.18343750000000014,8.0,3.6041666666666665,454,1.34375,7.158404166666667,4.0,1.665416666666669,97.37125,3.6166666666666667,1.0,0.0,0.0,0.0,3.083333333333333,0.0625,14,12.083333333333334,1,0,0,1,0,0,0,0,12,4.7782277997778095,2.325333333333333,0.0,0.625,60,96,5.5769608760283615
5,3.555119152691965,9.363636363636363,4.145631067961165,546,5.027184466019417,6.707052868490733,4.0,1.9239541041482795,97.94644307149164,3.7454545454545456,0.0,0.0,0.0,0.0,3.6363636363636367,0.10679611650485436,16,13.363636363636363,6,0,0,1,0,0,0,0,11,4.851557810540191,2.5767484554280666,3.0,0.6213592233009708,64,103,5.540558538231694
6,3.555119152691965,9.363636363636363,4.145631067961165,546,5.027184466019417,6.707052868490733,4.0,1.9239541041482795,97.94644307149164,3.7454545454545456,0.0,0.0,0.0,0.0,3.6363636363636367,0.10679611650485436,16,13.363636363636363,6,0,0,1,0,0,0,0,11,4.851557810540191,2.5767484554280666,3.0,0.6213592233009708,64,103,5.540558538231694
7,3.555119152691965,9.363636363636363,4.145631067961165,546,5.027184466019417,6.707052868490733,4.0,1.9239541041482795,97.94644307149164,3.7454545454545456,0.0,0.0,0.0,0.0,3.6363636363636367,0.10679611650485436,16,13.363636363636363,6,0,0,1,0,0,0,0,11,4.851557810540191,2.5767484554280666,3.0,0.6213592233009708,64,103,5.540558538231694
8,3.555119152691965,9.363636363636363,4.145631067961165,546,5.027184466019417,6.707052868490733,4.0,1.9239541041482795,97.94644307149164,3.7454545454545456,0.0,0.0,0.0,0.0,3.6363636363636367,0.10679611650485436,16,13.363636363636363,6,0,0,1,0,0,0,0,11,4.851557810540191,2.5767484554280666,3.0,0.6213592233009708,64,103,5.540558538231694
9,3.555119152691965,9.363636363636363,4.145631067961165,546,5.027184466019417,6.707052868490733,4.0,1.9239541041482795,97.94644307149164,3.7454545454545456,0.0,0.0,0.0,0.0,3.6363636363636367,0.10679611650485436,16,13.363636363636363,6,0,0,1,0,0,0,0,11,4.851557810540191,2.5767484554280666,3.0,0.6213592233009708,64,103,5.540558538231694
10,3.668581081081083,14.0,3.7142857142857144,538,3.8036036036036016,5.60497027027027,2.0,5.129358108108111,83.00052364864867,5.910360360360361,0.0,0.0,0.0,0.0,6.714285714285714,0.08035714285714286,19,21.0,3,0,0,1,0,0,0,0,8,8.07648339933343,2.9503299549549546,5.0,0.6428571428571429,72,112,5.836210672320923
11,4.111315417256012,14.571428571428571,3.735294117647059,493,4.027722772277226,5.9155234794908065,2.0,5.108429985855732,84.13653465346535,6.167468175388968,0.0,0.0,0.0,0.0,6.857142857142857,0.0784313725490196,19,21.428571428571427,4,0,0,1,0,0,0,0,7,7.957251820313856,3.0437256011315417,5.0,0.6764705882352942,69,102,5.784882939883448
12,4.280126050420165,14.714285714285714,3.737864077669903,500,4.060784313725492,6.526497759103641,5.0,4.900700280112044,85.88029411764708,6.612885154061624,1.0,0.0,0.0,0.0,7.0,0.0970873786407767,19,21.857142857142858,6,0,0,1,0,0,0,0,7,8.418075326091056,3.3151400560224085,6.0,0.6699029126213593,69,103,5.822077590875866
13,4.339285714285715,15.571428571428571,3.6788990825688073,521,3.81666666666667,6.009997883597883,2.0,5.177142857142858,85.42500000000001,6.541798941798942,0.0,0.0,0.0,0.0,6.714285714285714,0.06422018348623854,19,22.857142857142858,5,0,0,1,0,0,0,0,7,7.447530270364452,3.1736878306878307,6.0,0.6605504587155964,72,109,5.81636225173239
14,4.280126050420165,14.714285714285714,3.737864077669903,500,4.060784313725492,6.526497759103641,5.0,4.900700280112044,85.88029411764708,6.612885154061624,1.0,0.0,0.0,0.0,7.0,0.0970873786407767,19,21.857142857142858,6,0,0,1,0,0,0,0,7,8.418075326091056,3.3151400560224085,6.0,0.6699029126213593,69,103,5.822077590875866
15,7.28142857142857,17.5,4.095238095238095,549,6.260952380952382,6.459452380952381,8.0,6.181666666666668,81.91250000000004,7.380952380952381,0.0,0.0,0.0,0.0,8.0,0.14285714285714285,20,25.666666666666668,9,0,0,1,0,0,0,0,6,7.793537801064561,3.9617380952380947,6.0,0.6952380952380952,73,105,5.835381946832848
16,5.3961932367149785,12.777777777777779,4.165217391304348,613,6.041739130434788,6.467147342995169,7.0,4.066376811594203,88.66729468599037,5.458937198067634,0.0,0.0,0.0,0.0,4.666666666666667,0.1391304347826087,20,18.333333333333332,11,0,0,1,0,0,0,0,9,5.82211442006289,3.1641449275362317,5.0,0.6086956521739131,70,115,5.742933637731582
17,4.602212389380533,11.3,4.15929203539823,601,5.704424778761062,6.851935752212389,7.0,3.3320442477876107,91.3000132743363,5.227964601769912,0.0,0.0,0.0,0.0,4.777777777777778,0.1415929203539823,16,16.2,9,0,0,1,0,0,0,0,10,6.2581,2.965043362831858,4.0,0.6106194690265486,69,113,5.729255127041871
18,4.602212389380533,11.3,4.15929203539823,601,5.704424778761062,6.851935752212389,7.0,3.3320442477876107,91.3000132743363,5.227964601769912,0.0,0.0,0.0,0.0,4.777777777777778,0.1415929203539823,16,16.2,9,0,0,1,0,0,0,0,10,6.2581,2.965043362831858,4.0,0.6106194690265486,69,113,5.729255127041871
19,5.952896825396824,15.428571428571429,4.018518518518518,558,5.588888888888885,6.156201587301587,7.0,5.39566137566138,83.85833333333335,6.912169312169313,0.0,0.0,0.0,0.0,6.714285714285714,0.16666666666666666,20,22.857142857142858,10,0,0,1,0,0,0,0,7,7.957251820313856,3.5718359788359786,5.0,0.6574074074074074,71,108,5.731319562867316
20,6.275989515072084,15.571428571428571,4.091743119266055,569,6.031192660550456,6.871503407601573,7.0,5.63882044560944,82.36944954128441,9.164351245085191,0.0,0.0,0.0,0.0,7.2857142857142865,0.11926605504587157,20,21.857142857142858,7,0,0,1,0,0,0,0,7,9.606745405546679,3.981360419397116,5.0,0.6055045871559633,66,109,5.722786738519365
21,5.279150943396228,13.25,4.1415094339622645,557,5.986792452830194,7.868794339622641,9.0,4.049198113207549,89.63153301886796,7.564150943396226,0.0,0.0,0.0,0.0,6.125,0.10377358490566038,16,18.625,5,0,0,1,0,0,0,0,8,8.472884824447931,3.680834905660377,5.0,0.6320754716981132,67,106,5.804821667469196
