text_idx,stat_automated_readability_index,stat_avg_sent_len,stat_avg_word_len,stat_char_count,stat_coleman_liau_index,stat_dale_chall_readability_score,stat_difficult_words,stat_flesch_kincaid_grade,stat_flesch_reading_ease,stat_gunning_fog,stat_has_because,stat_has_example,stat_has_multiple_choice,stat_has_therefore,stat_linsear_write_formula,stat_long_word_ratio,stat_max_sent_len,stat_mcalpine_eflaw,stat_n_comma,stat_n_exclaim,stat_n_newlines,stat_n_paragraphs,stat_n_paren,stat_n_question,stat_n_quote,stat_n_semicolon,stat_sentence_count,stat_smog_index,stat_spache_readability,stat_text_standard,stat_ttr,stat_unique_words,stat_word_count,stat_word_entropy
0,3.617194852941175,13.333333333333334,4.075,850,4.6175,6.570511029411765,9.0,4.453088235294118,79.89955882352942,5.514705882352942,0.0,0.0,0.0,0.0,4.083333333333333,0.125,40,13.764705882352942,9,3,0,1,0,2,12,0,12,9.627879704456738,3.0798088235294117,3.0,0.54375,87,160,5.997107723579832
1,1.6140310077519366,8.0625,3.8372093023255816,661,2.1007751937984516,7.052044186046512,5.0,2.206550387596902,92.00734496124032,2.866666666666667,0.0,0.0,0.0,0.0,2.466666666666667,0.07751937984496124,14,10.666666666666666,8,2,0,1,0,0,12,0,16,5.82211442006289,2.5161666666666664,1.0,0.5348837209302325,69,129,5.720378372516111
2,1.7637453611190388,8.071428571428571,3.9026548672566372,1163,2.672566371681416,6.862657522123894,13.0,1.7160576648586918,95.74417213816729,2.9161290322580644,0.0,0.0,0.0,0.0,2.8461538461538463,0.11946902654867257,15,11.225806451612904,9,2,0,1,0,3,14,0,28,3.1291,2.7041036254638877,2.0,0.49557522123893805,112,226,6.236332702118324
3,4.309472934472936,12.461538461538462,4.018518518518518,832,5.132098765432094,7.081197245963913,11.0,4.1292592592592605,87.65320512820514,5.97226970560304,0.0,0.0,0.0,0.0,4.777777777777778,0.12345679012345678,18,18.307692307692307,7,0,0,1,0,0,0,0,13,7.32110970712323,3.6047188983855647,4.0,0.49382716049382713,80,162,5.668342790529613
4,4.32089552238806,13.4,3.9328358208955225,675,4.8014925373134325,7.4827071641791045,7.0,5.222567164179104,81.48623880597017,5.36,0.0,0.0,0.0,0.0,5.25,0.06716417910447761,19,19.9,5,0,0,1,0,0,0,0,10,3.1291,4.011982089552239,4.0,0.48507462686567165,65,134,5.610620395853304
5,2.3864943074003797,11.545454545454545,3.6377952755905514,654,2.733870967741936,8.964497912713473,6.0,1.3385768500948778,98.45727703984821,3.2402277039848197,0.0,0.0,0.0,0.0,2.7857142857142856,0.08661417322834646,36,10.941176470588236,11,4,0,1,0,0,0,0,11,5.900188976854958,2.6303738140417456,2.0,0.5748031496062992,73,127,5.900520734816358
6,4.185520094562644,9.4,4.191489361702128,500,5.614893617021277,8.186033806146572,11.0,4.30035460992908,82.8338888888889,5.879905437352246,1.0,0.0,0.0,0.0,5.0,0.1276595744680851,15,15.222222222222221,3,0,0,1,0,0,0,0,10,8.167268648758528,3.8669858156028365,4.0,0.6702127659574468,63,94,5.748752618040888
7,3.279090909090911,6.6,4.0606060606060606,182,3.2666666666666693,8.748708484848486,6.0,2.7173333333333325,87.33600000000001,3.8521212121212116,0.0,0.0,0.0,0.0,2.5,0.15151515151515152,9,9.4,1,0,0,1,0,0,10,0,5,5.683917801722854,3.3332363636363636,2.0,0.8484848484848485,28,33,4.695613058621274
8,1.8786155786818028,8.38888888888889,3.947019867549669,782,2.899337748344376,7.653081393882056,8.0,1.2805108798486309,98.68898454746136,2.8761904761904766,0.0,0.0,0.0,0.0,2.7142857142857144,0.11258278145695365,16,10.761904761904763,3,4,0,1,0,0,8,0,18,4.892091775363686,2.8780227057710497,1.0,0.5033112582781457,76,151,5.822971596591289
9,2.5143233082706757,11.4,3.93859649122807,594,3.256140350877196,8.334157644110276,10.0,2.8015037593984964,89.4805263157895,3.9588972431077694,0.0,0.0,0.0,0.0,3.0,0.05263157894736842,18,11.642857142857142,10,0,0,1,0,1,8,0,10,5.288315135182226,3.7976691729323306,2.0,0.6403508771929824,73,114,5.841349992764238
10,1.9417297677691785,9.8,3.8081632653061224,1240,2.688979591836734,6.375697748064743,9.0,1.5276847290640418,99.15714285714287,3.3793103448275867,0.0,0.0,0.0,0.0,3.166666666666667,0.044897959183673466,19,12.206896551724139,14,4,0,1,0,4,16,0,25,3.1291,2.4163293455313157,2.0,0.42448979591836733,104,245,5.962136750512436
11,1.8073837317027994,7.3428571428571425,3.9494163424124515,1357,2.22412451361868,6.950549508986474,17.0,0.43300444691495343,102.8568514915694,2.9145451176579584,0.0,0.0,0.0,0.0,2.125,0.08560311284046693,16,9.095238095238095,8,2,0,1,0,1,32,0,35,4.65589566412798,2.337583379655364,1.0,0.4474708171206226,115,257,6.220502237946264
12,4.858190476190472,10.333333333333334,4.258064516129032,186,5.525714285714283,10.08002380952381,7.0,4.805714285714284,81.38761904761907,6.9523809523809526,0.0,0.0,0.0,0.0,5.833333333333333,0.1935483870967742,12,17.666666666666668,4,0,0,1,0,0,0,0,3,8.841846274778883,4.203999999999999,4.0,0.7419354838709677,23,31,4.321627262824397
13,1.5832054356514789,6.465116279069767,3.946043165467626,1453,2.233093525179857,7.464428569144685,11.0,1.2509880095923265,97.096929656275,2.6149960031974424,0.0,0.0,0.0,0.0,2.1875,0.0683453237410072,11,9.155555555555555,13,2,0,1,0,3,18,0,43,4.604124745555138,2.452512709832134,1.0,0.43884892086330934,122,278,6.2317316716437485
14,1.3335757575757583,9.166666666666666,3.790909090909091,555,2.1509090909090958,6.440506060606061,1.0,2.0736363636363677,93.25712121212122,2.9333333333333336,0.0,0.0,0.0,0.0,3.1428571428571432,0.1,16,10.733333333333333,8,0,0,1,0,0,6,0,12,7.554174236665414,2.107545454545454,1.0,0.5363636363636364,59,110,5.543732754548136
15,2.72697802197802,12.444444444444445,3.9017857142857144,583,3.1874999999999964,6.319537362637362,9.0,2.3092857142857177,93.85109890109892,3.803296703296703,0.0,0.0,0.0,0.0,3.5,0.08928571428571429,30,13.076923076923077,12,2,0,1,0,1,10,0,9,6.297961479604793,2.7448406593406594,2.0,0.6071428571428571,68,112,5.57947060533732
16,3.7814285714285703,11.307692307692308,4.068027210884353,769,4.857142857142858,6.950089115646259,7.0,3.4356122448979605,89.13260204081634,4.2,0.0,0.0,0.0,0.0,4.777777777777778,0.12244897959183673,22,15.357142857142858,9,0,0,1,0,0,2,0,13,5.288315135182226,2.8460306122448977,3.0,0.5374149659863946,79,147,5.8792848861405975
17,1.7504787234042567,6.266666666666667,4.042553191489362,497,2.4851063829787208,5.775665957446808,6.0,1.2629521276595774,96.47187500000003,2.7755319148936173,1.0,0.0,0.0,0.0,2.125,0.11702127659574468,13,8.5625,3,0,0,1,0,1,4,0,15,5.602791699666715,2.216311170212766,1.0,0.6170212765957447,58,94,5.372234822151132
18,3.8908870214752547,11.352941176470589,3.8911917098445596,981,4.768253968253973,7.028464394646748,14.0,4.604083411142238,81.85535014005603,4.870339246809835,0.0,0.0,0.0,0.0,4.5,0.08290155440414508,19,16.294117647058822,7,2,0,1,0,0,0,0,17,7.048011613610866,3.726164954870837,3.0,0.49222797927461137,95,193,5.969957561650963
19,4.599880952380953,8.0,4.708333333333333,154,6.50714285714286,9.738719047619048,5.0,3.6428571428571423,85.56880952380955,3.733333333333334,0.0,0.0,0.0,0.0,3.666666666666667,0.20833333333333334,9,13.666666666666666,1,0,0,1,0,0,0,0,3,3.1291,3.6907142857142854,3.0,0.875,21,24,4.334962500721156
20,3.7428245856353612,11.3125,4.011049723756906,930,4.783425414364643,6.901964640883978,7.0,3.5555766574585626,89.7196633287293,4.966988950276243,0.0,0.0,0.0,0.0,4.2,0.09944751381215469,21,16.125,8,0,0,1,0,0,0,0,16,7.168621630094336,2.861686809392265,3.0,0.48066298342541436,87,181,6.028982528647242
21,3.750534759358292,11.6875,4.144385026737968,1017,4.662032085561499,7.435640106951872,15.0,3.563502673796794,84.65348930481285,6.180748663101605,1.0,0.0,0.0,0.0,3.833333333333333,0.15508021390374332,28,12.727272727272727,20,6,0,1,0,2,12,0,16,7.686295010490155,3.1412433155080213,3.0,0.5294117647058824,99,187,6.171480319870939
22,2.3902857142857137,7.0,3.8857142857142857,371,2.2600000000000016,6.690557142857143,3.0,1.9742857142857133,93.37571428571431,3.371428571428572,0.0,0.0,0.0,0.0,2.6,0.04285714285714286,14,9.6,6,3,0,1,0,1,12,0,10,4.935628992294339,2.8088571428571427,1.0,0.6714285714285714,47,70,5.301080610501579
23,4.491114942528739,13.181818181818182,4.062068965517241,756,5.270344827586211,7.502729885057471,12.0,4.665948275862068,83.13179597701152,5.936781609195403,0.0,0.0,0.0,0.0,5.625,0.13793103448275862,22,17.666666666666668,7,1,0,1,0,0,4,0,11,7.168621630094336,3.491715517241379,4.0,0.5379310344827586,78,145,5.923985915854097
24,3.9453645833333297,10.666666666666666,4.109375,1008,5.047916666666669,8.277545833333333,11.0,3.8731250000000017,86.29270833333337,4.4750000000000005,0.0,0.0,0.0,0.0,4.2,0.08854166666666667,17,15.11111111111111,10,0,0,1,0,0,0,0,18,5.82211442006289,3.7315416666666663,3.0,0.5416666666666666,104,192,6.25372772262835
25,3.7128748476229205,13.3125,4.140845070422535,1144,4.896261682242994,6.9018274278748475,15.0,3.477947988622514,86.69949817147503,4.095570906135718,0.0,1.0,0.0,0.0,4.4,0.12206572769953052,39,13.73913043478261,11,2,0,1,0,3,14,0,16,6.49829394308,3.115399024786672,3.0,0.5070422535211268,108,213,6.290245083907565
26,3.5554093567251464,14.615384615384615,3.9789473684210526,984,4.443157894736846,6.985634502923976,8.0,3.1214035087719303,91.48426900584798,4.643274853801169,0.0,0.0,0.0,0.0,4.2,0.08421052631578947,26,15.61111111111111,11,1,0,1,0,3,10,0,13,5.82211442006289,3.413649122807017,3.0,0.4789473684210526,91,190,5.979420192039922
27,1.821131498470951,6.673469387755102,3.914373088685015,1688,2.705810397553517,6.701024525993884,13.0,1.3173944954128451,98.56025076452602,3.273639143730887,0.0,0.0,0.0,0.0,2.4,0.08868501529051988,12,10.6,11,3,0,1,0,2,14,0,49,5.033348758259628,2.2580954128440367,1.0,0.4648318042813456,152,327,6.655592901275469
28,1.5107051282051316,8.666666666666666,3.8461538461538463,533,2.2384615384615394,5.498662564102564,3.0,1.8640000000000008,94.04766666666669,5.081025641025642,0.0,0.0,0.0,0.0,2.7333333333333334,0.10576923076923077,15,10.6,6,2,0,1,0,0,8,0,12,7.03164865440522,2.395446153846154,1.0,0.5096153846153846,53,104,5.3151799462819085
29,1.3729997788589152,6.872340425531915,3.9195046439628483,1688,1.7294117647058798,6.904598098186644,19.0,0.5418172268907568,101.45121323529412,2.430981866430783,0.0,0.0,0.0,0.0,2.466666666666667,0.08978328173374613,21,8.285714285714286,24,6,0,1,0,0,20,0,47,4.836109446371051,2.3445279190623616,1.0,0.4148606811145511,134,323,6.242732922501521
30,1.993114478114478,9.705882352941176,3.684848484848485,840,2.6999999999999993,7.6080943883277214,11.0,2.0682379349046016,93.349797979798,3.439281705948373,0.0,0.0,0.0,0.0,2.3125,0.05454545454545454,23,10.727272727272727,3,6,0,1,0,3,0,0,17,5.852544927426893,2.992087542087542,1.0,0.509090909090909,84,165,5.902455567619922
31,3.315187656380317,13.625,3.9541284403669725,566,3.9339449541284424,6.7355138448707255,5.0,3.3222518765638043,88.89286905754797,3.9636363636363634,0.0,0.0,0.0,0.0,3.7272727272727275,0.09174311926605505,23,14.272727272727273,10,4,0,1,0,1,6,0,8,5.565023196281405,3.261869891576313,3.0,0.5871559633027523,64,109,5.658919504404591
32,1.8175961538461536,8.666666666666666,3.9134615384615383,528,3.08653846153846,7.828973076923077,6.0,0.9184615384615391,102.72653846153847,3.2,0.0,0.0,0.0,0.0,2.8461538461538463,0.057692307692307696,15,12.0,3,0,0,1,0,0,2,0,12,3.1291,2.463153846153846,2.0,0.625,65,104,5.588056636323281
33,2.635984808800419,8.7,3.6206896551724137,886,3.1240963855421704,8.27490429544264,10.0,1.4416500785751722,97.58163698271346,3.6098480880041905,0.0,0.0,0.0,0.0,2.7857142857142856,0.06321839080459771,16,10.869565217391305,6,2,0,1,0,1,0,0,20,5.511479884284511,2.633760607647983,2.0,0.5402298850574713,94,174,6.194015372776931
34,1.8135285714285736,8.882352941176471,3.781456953642384,1552,1.999333333333329,7.727752380952381,13.0,1.0803809523809527,100.039,2.9904761904761905,0.0,0.0,0.0,0.0,2.4,0.046357615894039736,17,10.428571428571429,37,6,0,1,0,2,30,0,34,4.010595887681843,2.2761428571428572,1.0,0.4470198675496689,135,302,6.39611850509505
35,3.634016853932586,11.866666666666667,3.960674157303371,914,4.478651685393256,7.647906741573034,14.0,3.134143258426967,92.40716994382024,4.674719101123595,0.0,0.0,0.0,0.0,4.777777777777778,0.11235955056179775,27,16.25,11,0,0,1,0,0,0,0,15,5.602791699666715,3.2289733146067414,3.0,0.5786516853932584,103,178,6.252481819483841
36,2.852712264150945,12.23076923076923,3.880503144654088,810,3.5823899371069174,6.214871698113208,4.0,2.905750786163523,91.92956957547173,3.975,0.0,0.0,0.0,0.0,4.2,0.0880503144654088,24,14.375,13,4,0,1,0,0,6,0,13,6.322622252153568,2.8892441037735845,2.0,0.5220125786163522,83,159,5.940865947527828
37,2.3918974358974374,14.444444444444445,3.6923076923076925,637,2.749230769230767,7.088910256410256,7.0,2.52269230769231,96.27147435897437,4.333333333333334,0.0,0.0,0.0,0.0,3.545454545454546,0.015384615384615385,22,16.416666666666668,10,3,0,1,0,0,6,0,9,4.7782277997778095,2.8957307692307688,2.0,0.5384615384615384,70,130,5.7825637520509545
