orig_split,orig_idx,source_dataset,education_level,llm_judge_label,judge_raw_response
train,12849,onestop,elementary,high,high
train,12850,onestop,elementary,middle,middle
train,12851,onestop,elementary,high,high
train,12852,onestop,elementary,middle,middle
train,12853,onestop,elementary,high,high
train,12854,onestop,elementary,middle,middle
train,12855,onestop,elementary,middle,middle
train,12856,onestop,elementary,high,high
train,12857,onestop,elementary,high,high
train,12858,onestop,elementary,middle,middle
train,12859,onestop,elementary,middle,middle
train,12860,onestop,elementary,high,high
train,12861,onestop,elementary,middle,middle
train,12862,onestop,elementary,middle,middle
train,12863,onestop,elementary,middle,middle
train,12864,onestop,elementary,high,high
train,12865,onestop,elementary,middle,middle
train,12866,onestop,elementary,high,high
train,12867,onestop,elementary,middle,middle
train,12868,onestop,elementary,high,high
train,12869,onestop,elementary,high,high
train,12870,onestop,elementary,middle,middle
train,12871,onestop,elementary,middle,middle
train,12872,onestop,elementary,middle,middle
train,12873,onestop,elementary,middle,middle
train,12874,onestop,elementary,middle,middle
train,12875,onestop,elementary,high,high
train,12876,onestop,elementary,high,high
train,12877,onestop,elementary,middle,middle
train,12878,onestop,elementary,middle,middle
train,12879,onestop,elementary,middle,middle
train,12880,onestop,elementary,middle,middle
train,12881,onestop,elementary,middle,middle
train,12882,onestop,elementary,middle,middle
train,12883,onestop,elementary,high,high
train,12884,onestop,elementary,middle,middle
train,12885,onestop,elementary,high,high
train,12886,onestop,elementary,middle,middle
train,12887,onestop,elementary,middle,middle
train,12888,onestop,elementary,middle,middle
train,12889,onestop,elementary,middle,middle
train,12890,onestop,elementary,middle,middle
train,12891,onestop,elementary,middle,middle
train,12892,onestop,elementary,middle,middle
train,12893,onestop,elementary,high,high
train,12894,onestop,elementary,middle,middle
train,12895,onestop,elementary,middle,middle
train,12896,onestop,elementary,high,high
train,12897,onestop,elementary,high,high
train,12898,onestop,elementary,high,high
train,12899,onestop,elementary,middle,middle
train,12900,onestop,elementary,middle,middle
train,12901,onestop,elementary,middle,middle
train,12902,onestop,elementary,middle,middle
train,12903,onestop,elementary,high,high
train,12904,onestop,elementary,middle,middle
train,12905,onestop,elementary,high,high
train,12906,onestop,elementary,middle,middle
train,12907,onestop,elementary,middle,middle
train,12908,onestop,elementary,high,high
train,12909,onestop,elementary,middle,middle
train,12910,onestop,elementary,high,high
train,12911,onestop,elementary,middle,middle
train,12912,onestop,elementary,high,high
train,12913,onestop,elementary,middle,middle
train,12914,onestop,elementary,middle,middle
train,12915,onestop,elementary,middle,middle
train,12916,onestop,elementary,high,high
train,12917,onestop,elementary,middle,middle
train,12918,onestop,elementary,middle,middle
train,12919,onestop,elementary,high,high
train,12920,onestop,elementary,middle,middle
train,12921,onestop,elementary,middle,middle
train,12922,onestop,elementary,high,high
train,12923,onestop,elementary,middle,middle
