orig_split,orig_idx,source_dataset,education_level,llm_judge_label,judge_raw_response
ood_race-middle,0,race-middle,middle,middle,middle
ood_race-middle,1,race-middle,middle,middle,middle
ood_race-middle,2,race-middle,middle,middle,middle
ood_race-middle,3,race-middle,middle,middle,middle
ood_race-middle,4,race-middle,middle,middle,middle
ood_race-middle,5,race-middle,middle,middle,middle
ood_race-middle,6,race-middle,middle,middle,middle
ood_race-middle,7,race-middle,middle,middle,middle
ood_race-middle,8,race-middle,middle,middle,middle
ood_race-middle,9,race-middle,middle,middle,middle
ood_race-middle,10,race-middle,middle,middle,middle
ood_race-middle,11,race-middle,middle,middle,middle
ood_race-middle,12,race-middle,middle,middle,middle
ood_race-middle,13,race-middle,middle,elementary,elementary
ood_race-middle,14,race-middle,middle,middle,middle
ood_race-middle,15,race-middle,middle,middle,middle
ood_race-middle,16,race-middle,middle,elementary,elementary
ood_race-middle,17,race-middle,middle,middle,middle
ood_race-middle,18,race-middle,middle,middle,middle
ood_race-middle,19,race-middle,middle,middle,middle
ood_race-middle,20,race-middle,middle,middle,middle
ood_race-middle,21,race-middle,middle,middle,middle
ood_race-middle,22,race-middle,middle,middle,middle
ood_race-middle,23,race-middle,middle,middle,middle
ood_race-middle,24,race-middle,middle,middle,middle
ood_race-middle,25,race-middle,middle,middle,middle
ood_race-middle,26,race-middle,middle,middle,middle
ood_race-middle,27,race-middle,middle,high,high
ood_race-middle,28,race-middle,middle,middle,middle
ood_race-middle,29,race-middle,middle,middle,middle
ood_race-middle,30,race-middle,middle,middle,middle
ood_race-middle,31,race-middle,middle,middle,middle
ood_race-middle,32,race-middle,middle,middle,middle
ood_race-middle,33,race-middle,middle,middle,middle
ood_race-middle,34,race-middle,middle,middle,middle
ood_race-middle,35,race-middle,middle,middle,middle
ood_race-middle,36,race-middle,middle,middle,middle
ood_race-middle,37,race-middle,middle,middle,middle
ood_race-middle,38,race-middle,middle,middle,middle
ood_race-middle,39,race-middle,middle,middle,middle
ood_race-middle,40,race-middle,middle,middle,middle
ood_race-middle,41,race-middle,middle,middle,middle
ood_race-middle,42,race-middle,middle,middle,middle
ood_race-middle,43,race-middle,middle,middle,middle
ood_race-middle,44,race-middle,middle,middle,middle
ood_race-middle,45,race-middle,middle,middle,middle
ood_race-middle,46,race-middle,middle,middle,middle
ood_race-middle,47,race-middle,middle,middle,middle
ood_race-middle,48,race-middle,middle,middle,middle
ood_race-middle,49,race-middle,middle,middle,middle
ood_race-middle,50,race-middle,middle,middle,middle
ood_race-middle,51,race-middle,middle,middle,middle
