text_idx,stat_automated_readability_index,stat_avg_sent_len,stat_avg_word_len,stat_char_count,stat_coleman_liau_index,stat_dale_chall_readability_score,stat_difficult_words,stat_flesch_kincaid_grade,stat_flesch_reading_ease,stat_gunning_fog,stat_has_because,stat_has_example,stat_has_multiple_choice,stat_has_therefore,stat_linsear_write_formula,stat_long_word_ratio,stat_max_sent_len,stat_mcalpine_eflaw,stat_n_comma,stat_n_exclaim,stat_n_newlines,stat_n_paragraphs,stat_n_paren,stat_n_question,stat_n_quote,stat_n_semicolon,stat_sentence_count,stat_smog_index,stat_spache_readability,stat_text_standard,stat_ttr,stat_unique_words,stat_word_count,stat_word_entropy
0,8.628565179352584,14.222222222222221,4.67578125,1495,9.71857707509881,7.953497452788757,33.0,8.081389986824771,62.15754391743525,8.7842775581906,1.0,0.0,0.0,0.0,7.571428571428571,0.2109375,34,19.166666666666668,13,0,0,1,0,0,0,0,18,9.861636050157227,4.180517127799736,7.0,0.51171875,131,256,6.363473894639812
1,15.005418502202645,30.625,4.681632653061224,1435,12.662555066079296,10.605415594713657,53.0,12.340533039647578,47.01828854625552,14.542555066079297,0.0,0.0,0.0,0.0,11.166666666666666,0.22857142857142856,81,31.7,21,0,0,1,0,0,4,0,8,14.117786864225405,6.426484140969162,10.0,0.5714285714285714,140,245,6.683500283190709
2,10.090021367521366,16.80952380952381,4.906515580736544,2154,11.043874643874645,10.434976923076924,78.0,10.116599002849004,48.580368589743614,12.231766381766384,0.0,0.0,0.0,0.0,11.166666666666666,0.26912181303116145,80,19.5,12,0,0,1,0,1,6,0,21,12.530574950772351,5.571780270655271,10.0,0.4985835694050991,176,353,6.884901842227634
3,7.273500000000002,15.391304347826088,4.11864406779661,1865,6.109999999999999,7.467994444444445,37.0,7.458333333333336,73.65,9.755555555555556,0.0,0.0,0.0,1.0,11.6,0.1327683615819209,35,26.2,7,0,0,1,0,4,4,2,23,9.766711354998122,4.380333333333333,6.0,0.4717514124293785,167,354,6.884753576915019
4,5.486212288042285,12.894736842105264,4.155102040816327,1286,6.621008403361348,7.309654002653693,21.0,4.91291021671827,82.15020123839012,6.018929677134012,1.0,0.0,0.0,0.0,4.7,0.1346938775510204,20,18.05263157894737,7,0,0,1,0,0,4,0,19,7.85451343220497,3.544706324635117,4.0,0.5551020408163265,136,245,6.663325937813814
5,5.77735336538462,11.428571428571429,4.30625,1752,6.913207547169812,7.272045524915336,45.0,5.544150943396229,77.0981277213353,6.527527818093856,0.0,1.0,0.0,0.0,4.2,0.153125,35,17.46153846153846,14,0,0,1,0,1,2,1,28,7.748469712250962,3.9968717948717947,6.0,0.546875,175,320,7.028494810701212
6,7.661666666666669,11.041666666666666,4.811320754716981,1601,9.41729323308271,7.807248370927319,45.0,7.6746052631579005,59.780153508771946,7.440852130325815,0.0,0.0,0.0,0.0,6.222222222222222,0.21509433962264152,26,14.75,22,1,0,1,2,0,6,0,24,10.411451182825502,3.8566372180451123,7.0,0.5471698113207547,145,265,6.544356761412411
7,7.19632768361582,27.714285714285715,4.396907216494846,1067,9.337853107344632,8.227849152542372,31.0,6.778333333333336,63.979590395480244,7.323163841807911,0.0,0.0,0.0,0.0,4.166666666666667,0.15979381443298968,34,13.222222222222221,9,1,0,1,0,1,2,0,7,9.586721724236664,3.828889830508474,6.0,0.5927835051546392,115,194,6.371764933660039
8,5.500532492298664,12.903225806451612,4.3075,2192,6.6675,7.220129411764706,46.0,6.22623529411765,71.37782352941178,7.2058823529411775,1.0,0.0,0.0,1.0,5.666666666666667,0.185,32,17.029411764705884,13,0,0,1,2,3,8,0,31,9.478462496947788,3.7448235294117644,6.0,0.435,174,400,6.706191704659518
9,9.382036066261271,13.0,5.040485829959514,1540,10.913147410358565,10.26803692598029,58.0,8.601945900608094,56.92033969385619,10.38381211994129,0.0,0.0,0.0,0.0,7.857142857142858,0.2631578947368421,28,17.68421052631579,10,0,0,1,0,0,0,0,19,10.771109862388435,5.13435353323548,9.0,0.6518218623481782,161,247,6.86488768414727
10,7.16368217841902,15.352941176470589,4.432950191570881,1457,8.030232558139538,7.492496409628723,33.0,6.308115055079565,74.02213586291312,8.222276621787026,0.0,0.0,0.0,0.0,7.2857142857142865,0.16091954022988506,29,19.31578947368421,12,0,0,1,0,0,4,0,17,8.99025400887824,3.9202982456140347,6.0,0.5823754789272031,152,261,6.7215477975523426
11,8.372783096731595,16.928571428571427,4.236286919831223,1263,7.515879828326181,8.45604255529878,20.0,7.3021459227467815,74.6327764938924,8.542621327170684,1.0,1.0,0.0,0.0,11.6,0.14345991561181434,31,24.307692307692307,9,0,0,1,0,0,0,0,14,9.661875296680812,4.362720369758996,7.0,0.5147679324894515,122,237,6.55502397251446
12,11.455908710217756,18.454545454545453,4.9507389162561575,2477,11.629722921914354,9.667268933669185,94.0,10.716161838790935,47.695586167086475,12.863518052057096,0.0,0.0,0.0,0.0,10.5,0.2438423645320197,70,22.166666666666668,23,0,0,1,0,7,8,0,22,12.954912879858846,5.554246536523928,10.0,0.5615763546798029,228,406,7.3780629179371235
13,6.856964149504197,16.0,4.357142857142857,1863,7.324629080118694,7.502505986324345,51.0,7.491706876532064,67.44790994710362,9.659089149787125,0.0,0.0,0.0,0.0,7.0,0.18452380952380953,30,21.17391304347826,20,0,0,1,0,1,12,0,21,10.568078804390687,4.410594503934975,6.0,0.5714285714285714,192,336,7.0890061767564765
14,10.982879554655874,15.4375,5.089068825910931,1541,11.799190283400808,9.836005668016195,50.0,9.587710020242916,53.819378795546584,10.709412955465588,0.0,0.0,0.0,0.0,6.0,0.31983805668016196,26,20.6875,15,0,0,1,0,0,6,1,16,11.20814326018867,5.627023532388664,9.0,0.5344129554655871,132,247,6.532039299157495
15,12.060767241379317,39.125,4.594249201277956,1795,11.561245674740483,9.668247750865053,63.0,9.256451124567473,60.869728589965405,10.546799307958478,0.0,0.0,0.0,0.0,9.0,0.1853035143769968,97,24.4375,18,0,0,1,0,0,4,1,8,10.820120047756994,5.558130839100345,8.0,0.5686900958466453,178,313,6.949580080399083
16,9.152713414634146,18.444444444444443,4.352409638554217,1830,8.44074074074074,8.428065432098766,46.0,7.746049382716048,71.58722222222224,10.162962962962965,0.0,0.0,0.0,0.0,10.166666666666666,0.1897590361445783,39,24.666666666666668,18,0,0,1,0,1,0,0,18,10.25414643259724,4.916506172839506,9.0,0.5210843373493976,173,332,6.945487836684989
17,10.156975881261594,14.64864864864865,5.068265682656826,3386,11.694402985074628,10.575897462686568,129.0,9.427417910447762,51.339597014925374,11.330149253731344,0.0,0.0,0.0,0.0,6.666666666666667,0.3062730627306273,36,18.05,31,0,0,1,0,2,16,2,37,11.407655852321103,5.536235820895522,10.0,0.5313653136531366,288,542,7.532276232629132
18,11.854211076280045,23.636363636363637,4.3076923076923075,1447,8.35249042145594,9.290230964820621,51.0,11.160188087774298,57.31043887147335,13.015813305468479,0.0,0.0,0.0,0.0,13.4,0.18076923076923077,38,34.90909090909091,19,0,0,1,2,0,4,0,11,12.563389971838223,6.095656565656565,12.0,0.5846153846153846,152,260,6.66370070523817
19,4.910290909090911,14.842105263157896,3.9397163120567376,1447,5.179636363636366,7.012572727272728,25.0,4.903909090909092,82.16786363636365,6.0181818181818185,0.0,0.0,0.0,0.0,4.888888888888889,0.1276595744680851,36,18.272727272727273,26,0,0,1,0,1,14,0,19,7.846244985919111,3.570954545454545,4.0,0.5709219858156028,161,282,6.790732879452066
20,10.925515212981743,18.1875,4.8728522336769755,1756,10.824827586206897,9.709652129817446,56.0,9.902251521298176,54.45201825557811,12.754563894523328,0.0,0.0,0.0,0.0,10.142857142857142,0.25773195876288657,41,23.41176470588235,13,0,0,1,0,0,2,0,16,12.827911418992354,5.527742393509127,9.0,0.6323024054982818,184,291,7.044924428005246
21,4.35836843323305,10.851851851851851,4.221843003412969,1609,5.697610921501706,7.424968918441803,38.0,4.17764858185242,83.10627986348125,6.089160880310698,0.0,0.0,0.0,0.0,4.0,0.16382252559726962,26,14.724137931034482,26,0,0,1,0,0,10,1,27,7.503015589744147,3.55505378368836,3.0,0.5972696245733788,175,293,6.924537475119438
