n_words_q,n_words_a_solution,n_words_a_lecture,Text_Length,Word_Count,Nouns,Verbs,Adjectives,Adverbs,Num_Numbers,Num_Commas,Num_Complex_Words,Num_Unique_Words,Num_Content_Words,Num_Content_Words_No_Stopwords,Word_Length_Syllables,Avg_Sentence_Length,Num_Prepositional_Phrases,Num_Negated_Words_Stem,Num_Negated_Words_Lead_In,Num_Main_Noun_Phrases,Avg_Main_NP_Length,Num_Verb_Phrases,Prop_Active_Voice_Verbs,Prop_Passive_Voice_Verbs,Ratio_Active_to_Passive_Verbs,Num_Words_Before_Main_Verb,Num_Agentless_Passive_Constructions,Word_Length_Std_Dev,Num_Polysemic_Words,Num_Word_Senses,Num_Word_Senses_For_Content_Words,Num_Word_Senses_For_Nouns,Num_Word_Senses_For_Verbs,Num_Word_Senses_For_Non_Auxiliary_Verbs,Num_Word_Senses_For_Adjectives,Num_Word_Senses_For_Adverbs,Distance_To_Root_Nouns,Distance_To_Root_Verbs,flesch_kincaid_grade,flesch_kincaid_ease,coleman_liau_index,automated_readability_index,smog_index,gunning_fog,traenkle_bailer_index,education_level
11,122,154,1775,299,75,57,29,30,0,9,43,127,192,166,1.625418060200669,18.666666666666668,27,1,1,79,1.9620253164556962,40,0.7692307692307693,0.23076923076923078,3.3333333333333335,6.133333333333334,6,2.6236557577198245,97,802,638,205,229,171,74,47,5.9310503823661715,1.9617693144433386,9.8,54.52,10.26,10.1,12.1,9.75,99.2484076075808,high
6,19,250,1364,249,64,55,17,7,0,11,14,95,169,124,1.3614457831325302,9.030303030303031,20,1,1,82,2.048780487804878,40,0.9285714285714286,0.07142857142857142,13.0,1.8333333333333333,2,2.4825125056750896,73,744,563,126,307,223,36,23,6.226587301587301,1.673736514911607,2.8,88.84,4.83,3.3,6.3,3.95,119.15664967652425,elementary
11,1,127,928,140,43,42,8,3,0,8,32,74,96,81,1.707142857142857,11.714285714285714,15,2,2,45,1.711111111111111,32,0.6666666666666666,0.3333333333333333,2.0,4.461538461538462,3,2.467864895584267,55,514,378,107,251,193,15,3,5.297487903043458,1.348721182101749,7.2,61.33,12.91,10.1,10.8,7.71,84.18355314285714,middle
16,41,219,1381,239,97,33,13,3,0,14,46,88,156,132,1.602510460251046,16.470588235294116,33,0,0,80,2.15,21,0.8666666666666667,0.13333333333333333,6.5,3.1,1,2.5228633635471236,63,514,397,172,161,97,25,10,5.764900629673357,1.4628675320780584,7.6,65.62,8.75,8.0,11.4,8.81,42.524261018951506,middle
16,63,97,998,174,48,40,8,7,18,1,3,69,103,94,1.264367816091954,12.5,15,1,1,60,1.7333333333333334,33,1.0,0.0,25.0,4.5,0,1.7588178839183781,53,564,423,104,242,165,32,12,5.950613275613275,1.5490020457125722,4.2,85.28,7.0,5.4,6.6,5.66,109.18259999999998,elementary
11,1,127,962,151,49,42,8,4,0,8,26,83,108,87,1.6158940397350994,11.666666666666666,17,2,2,46,1.7391304347826086,32,0.6666666666666666,0.3333333333333333,2.0,4.153846153846154,3,2.5282752583063335,64,601,437,155,251,180,15,4,5.126053660144569,1.2880350733387174,6.0,69.68,11.52,8.9,9.4,6.69,77.56292618101546,middle
11,82,154,1565,243,60,52,32,18,0,11,37,110,163,148,1.6666666666666667,16.41176470588235,17,0,0,62,2.064516129032258,44,0.7857142857142857,0.21428571428571427,3.6666666666666665,4.235294117647059,6,2.6229847069803682,83,730,620,155,263,237,67,32,5.879105154105154,1.8720878038607847,10.1,48.3,12.23,11.0,11.9,9.2,125.94795427547808,high
15,33,133,929,152,39,37,15,2,0,5,9,64,96,82,1.3355263157894737,10.38888888888889,12,0,1,45,2.0444444444444443,25,1.0,0.0,18.0,3.0,0,1.898753053426047,49,567,410,72,306,216,38,8,5.684060846560847,1.4359311740890686,3.2,87.92,7.57,5.6,7.2,4.53,119.75380318128654,elementary
19,26,119,791,145,40,19,19,4,0,8,8,63,84,75,1.3517241379310345,15.090909090909092,19,1,2,37,2.135135135135135,14,0.8333333333333334,0.16666666666666666,5.0,6.090909090909091,1,2.1919103238988287,46,476,364,89,160,121,43,17,6.252197802197802,1.9928494807037316,4.9,83.46,6.77,6.1,8.0,6.11,52.24386690909091,middle
11,98,154,1675,279,64,58,33,19,0,9,39,120,177,158,1.6093189964157706,18.294117647058822,25,2,0,70,2.0,44,0.8,0.2,4.0,5.0588235294117645,6,2.624228740569386,89,828,664,165,305,260,69,39,6.053575917546507,1.9324187397937953,9.7,54.83,10.79,10.4,11.7,9.71,100.39684596753109,high
27,32,363,2168,361,99,63,36,14,8,27,48,155,234,189,1.5318559556786704,14.689655172413794,37,3,3,97,2.1752577319587627,39,0.8275862068965517,0.1724137931034483,4.8,4.7272727272727275,5,2.6802898105881323,110,1073,902,242,383,319,69,17,5.943059036480089,1.768331627877367,7.0,67.15,9.38,8.1,10.1,7.01,87.49978619314163,high
4,59,85,777,137,46,31,17,4,0,8,17,71,100,88,1.4452554744525548,8.25,9,1,1,51,1.6666666666666667,22,0.9444444444444444,0.05555555555555555,17.0,2.111111111111111,1,1.8328000587072777,56,639,545,112,236,191,56,14,6.961425919759254,1.4122711119646292,3.6,81.49,5.92,4.2,7.9,3.6,137.68453068613138,elementary
