feature,f_score,p_value,significant
Num_Word_Senses_For_Adverbs,794.4908950433551,5.607480319324276e-287,True
Word_Length_Std_Dev,780.1692018991496,1.2263615551369807e-282,True
Num_Unique_Words,718.5771894489253,1.070217879087752e-263,True
flesch_kincaid_ease,714.8278789667067,1.5749738339511452e-262,True
gunning_fog,690.024096299497,9.263194623091212e-255,True
flesch_kincaid_grade,651.8417834077476,1.1978907463269257e-242,True
Word_Length_Syllables,644.1948173049277,3.361850731311269e-240,True
Num_Polysemic_Words,628.5591256195358,3.598114360704059e-235,True
smog_index,627.1919282133848,9.939982292926667e-235,True
Adverbs,605.4720980132448,1.100314572036537e-227,True
coleman_liau_index,566.4810055535677,7.029673762994231e-215,True
automated_readability_index,537.7279285794498,2.660016395938583e-205,True
n_words_q,450.6584537143233,1.4400220046859043e-175,True
Num_Word_Senses_For_Nouns,433.6422461913382,1.2659518987279642e-169,True
Num_Complex_Words,427.95755470980566,1.2536964609153969e-167,True
Num_Word_Senses_For_Content_Words,416.9813240427852,9.248094813104224e-164,True
Num_Word_Senses,367.53501509351,4.2570998690260885e-146,True
Avg_Sentence_Length,327.01260074345566,2.541105003647617e-131,True
Adjectives,325.7090979962095,7.672703501361963e-131,True
Text_Length,320.6071571951094,5.837147768897602e-129,True
Num_Content_Words_No_Stopwords,293.41111949744885,7.423825087199348e-119,True
Word_Count,264.51911317978914,5.607810322651826e-108,True
Distance_To_Root_Verbs,245.47990983374248,1.000224409466247e-100,True
Num_Word_Senses_For_Non_Auxiliary_Verbs,237.42029977257866,1.2299203614605734e-97,True
Num_Main_Noun_Phrases,230.26265482353506,6.98314263243087e-95,True
Num_Content_Words,225.76326913227717,3.8044462660651294e-93,True
n_words_a_lecture,213.16780846702105,2.891249532404163e-88,True
Num_Prepositional_Phrases,212.33724968183685,6.081262638074543e-88,True
Num_Verb_Phrases,203.31295953768233,2.0000339615955855e-84,True
Verbs,175.7206794178106,1.4218264201214037e-73,True
Nouns,175.654414447749,1.5103876900650555e-73,True
Num_Word_Senses_For_Adjectives,174.22474542065828,5.5650617453288026e-73,True
Num_Word_Senses_For_Verbs,166.56487920030787,6.12300490130448e-70,True
Num_Commas,137.1701728297322,3.704220500719269e-58,True
Num_Agentless_Passive_Constructions,136.6977439984362,5.747711573748486e-58,True
traenkle_bailer_index,105.20147655192793,3.845495157975952e-45,True
Avg_Main_NP_Length,55.6071016767437,1.6300953784885927e-24,True
Prop_Active_Voice_Verbs,28.42417987407882,5.637276275489092e-13,True
Prop_Passive_Voice_Verbs,28.424179874063313,5.637276275574489e-13,True
Num_Numbers,26.10091069188691,5.560851962583091e-12,True
n_words_a_solution,25.53255758284056,9.739057250008314e-12,True
Ratio_Active_to_Passive_Verbs,23.831955924196773,5.214147998845079e-11,True
Distance_To_Root_Nouns,23.742885172877344,5.6933325073149124e-11,True
Num_Negated_Words_Stem,23.20015189377327,9.728983735850356e-11,True
Num_Words_Before_Main_Verb,19.825390481581035,2.732518326331729e-09,True
Num_Negated_Words_Lead_In,3.1470237365066467,0.043096981366304736,False
